a,b,c,root0
1.5,0.3333333333333,1,0.752199207756686005286217472662
1.5,0.3333333333333,2,0.493582434389835651956710675286
1.5,0.5,1,0.64108809664557489417510636155
1.5,0.5,2,0.382471323278724540845599564175
1.5,1,1,0.307754763312241560841773028217
1.5,1,2,0.0491379899453912075122662308412
0.25, 0.75, 1., 2.84653 
0.25, 1., 1., 1.84653 
0.25, 0.25, 1., 4.84653
0.2, 0.75, 1., 3.55816 
0.2, 1., 1., 2.30816 
0.2, 0.25, 1., 6.05816
0.75, 0.75, 1., 0.948843 
0.75, 1., 1., 0.61551 
0.75, 0.25, 1., 1.61551
0.25, 0.5, 2., -0.509061
0.25, 0.5, 0.75, 12.5898
0.25, 0.5, 2.5, -0.851037
0.333333, 0.5, 2.5, -0.373113
0.285714, 0.5, 2.5, -0.608812
-3.5,0.8333333333333334,10.,9.876932020523912
-3.5,0.8333333333333334,7.,9.878514098544349
-3.5,0.8333333333333334,4.,9.880895018155059
-3.5,0.16666666666666666,10.,9.972622245920434
-3.5,0.16666666666666666,7.,9.974189811046534
-3.5,0.16666666666666666,4.,9.976548860755372
-3.5,-0.16666666666666666,10.,9.877384150682339
-3.5,-0.16666666666666666,7.,9.878951715808439
-3.5,-0.16666666666666666,4.,9.881310765517277
-3.5,-0.8333333333333334,10.,9.973057733261287
-3.5,-0.8333333333333334,7.,9.974611315672421
-3.5,-0.8333333333333334,4.,9.976949303061827
-0.2857142857142857,0.8333333333333334,10.,6.855523817075025
-0.2857142857142857,0.8333333333333334,7.,6.932228584765596
-0.2857142857142857,0.8333333333333334,4.,7.11870915904799
-0.2857142857142857,0.8333333333333334,-3.,1.
-0.2857142857142857,0.8333333333333334,-2.,1.
-0.2857142857142857,0.16666666666666666,10.,8.048305672337733
-0.2857142857142857,0.16666666666666666,7.,8.134168784813175
-0.2857142857142857,0.16666666666666666,4.,8.3463143704832
-0.2857142857142857,0.16666666666666666,-3.,1.
-0.2857142857142857,0.16666666666666666,-2.,1.
-0.2857142857142857,-0.16666666666666666,10.,6.881639005671066
-0.2857142857142857,-0.16666666666666666,7.,6.967502118146508
-0.2857142857142857,-0.16666666666666666,4.,7.179647703816533
-0.2857142857142857,-0.16666666666666666,-3.,1.
-0.2857142857142857,-0.16666666666666666,-2.,1.
-0.2857142857142857,-0.8333333333333334,10.,8.06772547068729
-0.2857142857142857,-0.8333333333333334,7.,8.160746061656521
-0.2857142857142857,-0.8333333333333334,4.,8.393187169229716
-0.2857142857142857,-0.8333333333333334,-3.,1.
-0.2857142857142857,-0.8333333333333334,-2.,1.
0.2857142857142857,0.8333333333333334,7.,-2.3750981959768267
0.2857142857142857,0.8333333333333334,4.,-2.1534169856360927
0.2857142857142857,0.8333333333333334,-3.,1.
0.2857142857142857,0.8333333333333334,-2.,1.
0.2857142857142857,0.16666666666666666,10.,-0.1274743239422963
0.2857142857142857,0.16666666666666666,7.,-0.041764862643493224
0.2857142857142857,0.16666666666666666,4.,0.17991634769724074
0.2857142857142857,0.16666666666666666,-3.,1.
0.2857142857142857,0.16666666666666666,-2.,1.
0.2857142857142857,-0.16666666666666666,10.,1.0391923427243703
0.2857142857142857,-0.16666666666666666,7.,1.1249018040231735
0.2857142857142857,-0.16666666666666666,4.,1.3465830143639075
0.2857142857142857,-0.16666666666666666,-3.,1.
0.2857142857142857,-0.16666666666666666,-2.,1.
0.2857142857142857,-0.8333333333333334,10.,3.3725256760577036
0.2857142857142857,-0.8333333333333334,7.,3.458235137356507
0.2857142857142857,-0.8333333333333334,4.,3.6799163476972407
0.2857142857142857,-0.8333333333333334,-3.,1.
0.2857142857142857,-0.8333333333333334,-2.,1.
3.5,0.8333333333333334,10.,0.034096499765020195
3.5,0.8333333333333334,7.,-0.3995525048822551
3.5,0.8333333333333334,4.,0.08177619844035103
